wdid,logg,mass
2MASS J00035692-0503328,8.07,0.66
2MASS J00055986-0544160,7.93,0.61
2MASS J00065190+2846469,7.97,0.59
2MASS J00124720+0010483,9.06,1.23
2MASS J00185379+0050215,7.59,0.44
2MASS J00215789-1103318,8.02,0.64
2MASS J00280166+0021370,8.02,0.65
2MASS J00292126-0020326,8.24,0.75
2MASS J00402005+1541561,8.1,0.7
2MASS J00431925+1602198,7.86,0.54
2MASS J01073468+0111572,8.39,0.86
2MASS J01122691+2511504,7.96,0.61
2MASS J01135583-0939380,9.09,1.24
2MASS J01163410+0029567,8.5,0.93
2MASS J01205327+3823565,7.4,0.33
2MASS J01233286+4039063,8.11,0.67
2MASS J01371606+0003108,8.39,0.86
2MASS J01423260-0835283,8.76,1.07
2MASS J01513281-0800481,7.97,0.6
2MASS J01525699+0020443,8.1,0.67
2MASS J02092575+0642141,8.89,1.15
2MASS J02123946+0018571,8.29,0.79
2MASS J02130919-0050253,8.69,1.02
2MASS J02174243+0053427,8.34,0.85
2MASS J02175909+0045178,8.38,0.85
2MASS J02182755+0044534,7.0,0.23
2MASS J02190372-0017338,8.3,0.83
2MASS J02275966-0936044,8.24,0.76
2MASS J02351513-0007370,7.63,0.46
2MASS J02380438-0005457,7.72,0.48
2MASS J02393804+2736546,7.69,0.44
2MASS J02431060+0040443,8.26,0.8
2MASS J02464256+0041372,8.557,0.95
2MASS J02494291+3350326,8.3,0.8
2MASS J02514192-0041298,8.217,0.74
2MASS J02530638+0013278,7.9,0.57
2MASS J02574779+0049021,7.795,0.61
2MASS J03035196+0035483,9.21,1.307
2MASS J03203051+0442436,8.005,0.62
2MASS J03203873-0638229,8.3,0.79
2MASS J03231689-0026122,8.24,0.75
2MASS J03260800+0110215,7.8,0.61
2MASS J03264321-0103374,8.05,0.645
2MASS J03275815-0022154,7.8,0.5
2MASS J03284292+0017498,7.56,0.4
2MASS J03451471-0614210,8.24,0.76
2MASS J03582728-0440422,7.95,0.59
2MASS J03591245-0446301,9.08,1.24
2MASS J04171658+0555225,7.37,0.36
2MASS J06421272+3816390,8.13,0.68
2MASS J06472372+8407234,7.62,0.41
2MASS J06481277+3810058,8.19,0.74
2MASS J07254388+4145187,7.87,0.55
2MASS J07263538+3225544,8.28,0.8
2MASS J07292074+4304109,8.31,0.8
2MASS J07305983+1440523,7.15,0.25
2MASS J07345592+4105374,7.96,0.6
2MASS J07390694+2743539,7.9,0.56
2MASS J07463208+1819111,7.48,0.37
2MASS J07473056+4304035,8.41,0.87
2MASS J07484570+1802405,7.94,0.625
2MASS J07500557+3933014,7.65,0.44
2MASS J07505185+0850201,8.32,0.81
2MASS J07522315+4332122,7.84,0.55
